Year,Adolescent birth rate (per 1000 women),Antenatal care coverage - at least four visits (%),Births attended by skilled health personnel (%),Births by caesarean section (%),Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),Prevalence of anaemia in women of reproductive age (aged 15-49) (%),Proportion of births delivered in a health facility (Facility births) (%)
2000,36.46772003,77.3,27.0,12.4,27.166666666666668,33.03333333333333,19.8
2001,36.46772003,77.3,36.666666666666664,12.4,27.46666666666667,32.63333333333333,31.9
2002,36.46772003,77.3,46.33333333333333,12.4,27.933333333333334,32.233333333333334,44.0
2003,36.46772003,77.3,56.0,12.4,28.46666666666667,31.933333333333334,56.1
2004,36.46772003,77.3,54.0,12.4,29.2,31.7,57.08571428571429
2005,36.46772003,77.3,52.0,12.4,29.96666666666667,31.53333333333333,58.07142857142857
2006,43.81443405,77.3,57.0,12.4,30.7,31.3,59.05714285714286
2007,48.87628936666667,77.3,71.0,12.4,31.399999999999995,31.100000000000005,60.042857142857144
2008,53.938144683333334,77.3,66.0,12.4,32.03333333333333,30.9,61.02857142857143
2009,59.0,77.3,66.0,12.4,32.666666666666664,30.7,62.01428571428571
2010,39.30000019,77.3,65.0,12.4,33.333333333333336,30.566666666666663,63.0
2011,19.60000038,79.4,70.0,12.4,34.0,30.53333333333333,69.125
2012,28.39999962,81.5,75.0,12.4,34.73333333333333,30.5,75.25
2013,24.8483676925,82.63333333333334,89.0,12.4,35.53333333333333,30.566666666666663,78.88
2014,21.296735765,83.76666666666667,89.0,12.4,36.4,30.666666666666668,82.51
2015,17.7451038375,84.9,89.0,12.4,37.333333333333336,30.8,86.14
2016,14.19347191,85.1875,89.0,12.4,38.333333333333336,31.0,89.77000000000001
2017,10.781965495166666,85.47500000000001,96.0,12.4,39.6,31.266666666666666,93.4
2018,7.370459080333333,85.7625,96.0,12.4,40.96666666666667,31.46666666666667,93.95
2019,3.9589526655,86.05000000000001,96.0,12.4,42.4,31.7,94.5
2020,4.1010160445,86.3375,99.0,12.4,43.833333333333336,32.03333333333333,94.5
2021,5.28428173,86.625,99.0,12.4,45.4,32.4,94.5
2022,3.0589544775,86.91250000000001,99.0,12.4,47.0,32.800000000000004,94.5
2023,3.0589544775,87.2,99.0,12.4,48.86666666666667,33.4,94.5
